t,k2,k5,k8,pid
11.11543811,1.014273139,0.9273776712,1.23988737,0.9699169852
11.1488178,1.014837981,0.9366615604,1.194099154,0.9705133226
11.1821975,1.01537797,0.9459817458,1.147777445,0.9711424112
11.21557719,1.015893184,0.9553205496,1.101049562,0.971802519
11.24895688,1.01638372,0.9646604149,1.054043937,0.9724919048
11.28233658,1.016849692,0.9739839372,1.00688977,0.9732088208
11.31571627,1.017291235,0.9832738955,0.959716666,0.9739515158
11.34909597,1.017708502,0.9925132829,0.9126542829,0.9747182381
11.38247566,1.018101662,1.001685336,0.8658319747,0.9755072376
11.41585535,1.018470901,1.010773565,0.8193784352,0.9763167695
11.44923505,1.018816421,1.019761781,0.7734213445,0.9771450959
11.48261474,1.019138442,1.028634123,0.7280870185,0.9779904894
11.51599444,1.019437197,1.037375086,0.6835000611,0.9788512346
11.54937413,1.019712935,1.045969546,0.6397830224,0.9797256311
11.58275382,1.019965918,1.054402785,0.5970560609,0.9806119959
11.61613352,1.020196423,1.062660515,0.5554366145,0.9815086653
11.64951321,1.02040474,1.0707289,0.5150390764,0.982413997
11.68289291,1.020591171,1.078594578,0.4759744817,0.9833263728
11.7162726,1.020756031,1.086244684,0.4383502017,0.9842442
11.74965229,1.020899645,1.093666864,0.4022696489,0.9851659134
11.78303199,1.02102235,1.100849302,0.3678319928,0.9860899776
11.81641168,1.021124494,1.107780729,0.3351318875,0.9870148881
11.84979138,1.021206435,1.114450444,0.3042592108,0.9879391734
11.88317107,1.021268539,1.120848326,0.2752988184,0.9888613964
11.91655076,1.021311183,1.126964851,0.2483303094,0.9897801558
11.94993046,1.021334751,1.132791103,0.2234278084,0.9906940876
11.98331015,1.021339636,1.138318784,0.2006597613,0.9916018665
12.01668985,1.021326237,1.143540224,0.1800887476,0.9925022068
12.05006954,1.021294961,1.148448395,0.1617713077,0.9933938639
12.08344924,1.021246221,1.153036909,0.1457577883,0.9942756348
12.11682893,1.021180437,1.157300033,0.1320922034,0.9951463597
12.15020862,1.021098032,1.161232689,0.1208121138,0.9960049223
12.18358832,1.020999437,1.164830461,0.1119485233,0.9968502507
12.21696801,1.020885085,1.168089593,0.1055257941,0.9976813184
12.25034771,1.020755416,1.171006994,0.1015615795,0.9984971443
12.2837274,1.020610869,1.173580237,0.1000667752,0.9992967938
12.31710709,1.020451891,1.175807557,0.1010454899,1.000079379
12.35048679,1.020278928,1.177687849,0.1044950335,1.000844058
12.38386648,1.02009243,1.179220663,0.1104059248,1.001590038
12.41724618,1.01989285,1.180406201,0.1187619172,1.002316571
12.45062587,1.019680639,1.181245311,0.129540044,1.00302296
12.48400556,1.019456252,1.181739476,0.1427106807,1.003708552
12.51738526,1.019220142,1.181890812,0.1582376271,1.004372743
12.55076495,1.018972766,1.181702051,0.1760782064,1.005014977
12.58414465,1.018714576,1.181176538,0.1961833829,1.005634745
12.61752434,1.018446027,1.180318213,0.2184978963,1.006231582
12.65090403,1.018167572,1.179131603,0.2429604137,1.006805075
12.68428373,1.017879661,1.177621806,0.2695036986,1.007354851
12.71766342,1.017582745,1.175794476,0.2980547953,1.007880587
12.75104312,1.017277272,1.173655811,0.3285352292,1.008382003
12.78442281,1.016963685,1.171212532,0.3608612232,1.008858865
12.8178025,1.016642429,1.168471869,0.3949439275,1.009310982
12.8511822,1.016313942,1.165441542,0.4306896637,1.009738206
12.88456189,1.015978661,1.162129745,0.4680001825,1.010140432
12.91794159,1.015637018,1.158545121,0.5067729338,1.010517595
12.95132128,1.015289442,1.154696746,0.5469013486,1.010869675
12.98470097,1.014936357,1.150594107,0.5882751313,1.011196686
13.01808067,1.014578183,1.146247084,0.630780564,1.011498687
13.05146036,1.014215335,1.14166592,0.6743008177,1.01177577
13.08484006,1.013848224,1.13686121,0.7187162747,1.012028066
13.11821975,1.013477254,1.131843867,0.7639048564,1.012255743
13.15159944,1.013102824,1.126625107,0.8097423593,1.012459003
13.18497914,1.012725329,1.121216421,0.8561027965,1.012638081
13.21835883,1.012345156,1.115629553,0.9028587436,1.012793245
13.25173853,1.011962688,1.109876477,0.949881689,1.012924796
13.28511822,1.011578299,1.103969369,0.9970423876,1.013033062
13.31849791,1.011192358,1.097920587,1.044211215,1.013118404
13.35187761,1.010805228,1.091742641,1.091258526,1.013181207
13.3852573,1.010417264,1.085448175,1.138055007,1.013221886
13.418637,1.010028815,1.079049937,1.184472036,1.013240879
13.45201669,1.009640222,1.072560755,1.230382033,1.013238649
13.48539638,1.00925182,1.065993516,1.275658811,1.013215682
13.51877608,1.008863934,1.059361139,1.320177925,1.013172485
13.55215577,1.008476885,1.052676547,1.363817012,1.013109586
13.58553547,1.008090984,1.045952651,1.406456126,1.01302753
13.61891516,1.007706534,1.039202319,1.447978072,1.012926883
13.65229485,1.007323833,1.032438356,1.488268724,1.012808224
13.68567455,1.006943167,1.02567348,1.52721734,1.012672148
13.71905424,1.006564818,1.018920298,1.564716869,1.012519267
13.75243394,1.006189058,1.012191284,1.600664241,1.012350201
13.78581363,1.00581615,1.005498759,1.634960653,1.012165583
13.81919332,1.005446351,0.9988548655,1.667511837,1.011966057
13.85257302,1.005079908,0.9922715506,1.698228327,1.011752275
13.88595271,1.004717062,0.9857605423,1.727025695,1.011524896
13.91933241,1.004358042,0.979333331,1.753824791,1.011284586
13.9527121,1.004003074,0.9730011499,1.778551956,1.011032017
13.98609179,1.00365237,0.9667749566,1.801139224,1.010767864
14.01947149,1.003306138,0.9606654148,1.821524515,1.010492805
14.05285118,1.002964576,0.954682877,1.839651798,1.010207518
14.08623088,1.002627875,0.9488373683,1.855471249,1.009912686
14.11961057,1.002296215,0.9431385703,1.868939388,1.009608986
14.15299026,1.00196977,0.9375958062,1.880019196,1.009297099
14.18636996,1.001648706,0.9322180265,1.888680219,1.008977699
14.21974965,1.001333179,0.9270137959,1.894898654,1.00865146
14.25312935,1.001023339,0.9219912803,1.898657407,1.008319047
14.28650904,1.000719327,0.9171582355,1.899946148,1.007981125
14.31988873,1.000421276,0.912521996,1.898761334,1.007638348
14.35326843,1.00012931,0.9080894654,1.895106223,1.007291365
14.38664812,0.9998435475,0.9038671072,1.888990859,1.006940816
14.42002782,0.9995640969,0.8998609363,1.880432053,1.006587334
14.45340751,0.9992910599,0.8960765125,1.869453327,1.006231539
