t,before,after
36.360601,0.5,0.9985214629
36.43572621,0.5,0.9985385459
36.51085142,0.5,0.9985554315
36.58597663,0.5,0.998572122
36.66110184,0.5,0.9985886197
36.73622705,0.5,0.9986049267
36.81135225,0.5,0.9986210454
36.88647746,0.5,0.9986369778
36.96160267,0.5,0.9986527261
37.03672788,0.5,0.9986682924
37.11185309,0.5,0.998683679
37.1869783,0.5,0.9986988877
37.26210351,0.5,0.9987139207
37.33722871,0.5,0.99872878
37.41235392,0.5,0.9987434677
37.48747913,0.5,0.9987579856
37.56260434,0.5,0.9987723358
37.63772955,0.5,0.9987865202
37.71285476,0.5,0.9988005407
37.78797997,0.5,0.9988143992
37.86310518,0.5,0.9988280976
37.93823038,0.5,0.9988416377
38.01335559,0.5,0.9988550214
38.0884808,0.5,0.9988682505
38.16360601,0.5,0.9988813267
38.23873122,0.5,0.9988942518
38.31385643,0.5,0.9989070276
38.38898164,0.5,0.9989196558
38.46410684,0.5,0.998932138
38.53923205,0.5,0.9989444761
38.61435726,0.5,0.9989566716
38.68948247,0.5,0.9989687261
38.76460768,0.5,0.9989806415
38.83973289,0.5,0.9989924191
38.9148581,0.5,0.9990040607
38.98998331,0.5,0.9990155677
39.06510851,0.5,0.9990269418
39.14023372,0.5,0.9990381845
39.21535893,0.5,0.9990492973
39.29048414,0.5,0.9990602817
39.36560935,0.5,0.9990711392
39.44073456,0.5,0.9990818712
39.51585977,0.5,0.9990924792
39.59098497,0.5,0.9991029647
39.66611018,0.5,0.999113329
39.74123539,0.5,0.9991235736
39.8163606,0.5,0.9991336998
39.89148581,0.5,0.999143709
39.96661102,0.5,0.9991536025
40.04173623,0.5,0.9991633818
40.11686144,0.5,0.9991730481
40.19198664,0.5,0.9991826026
40.26711185,0.5,0.9991920468
40.34223706,0.5,0.9992013819
40.41736227,0.5,0.9992106091
40.49248748,0.5,0.9992197297
40.56761269,0.5,0.9992287449
40.6427379,0.5,0.999237656
40.71786311,0.5,0.9992464641
40.79298831,0.5,0.9992551704
40.86811352,0.5,0.9992637762
40.94323873,0.5,0.9992722825
41.01836394,0.5,0.9992806905
41.09348915,0.5,0.9992890014
41.16861436,0.5,0.9992972162
41.24373957,0.5,0.9993053362
41.31886477,0.5,0.9993133623
41.39398998,0.5,0.9993212957
41.46911519,0.5,0.9993291374
41.5442404,0.5,0.9993368885
41.61936561,0.5,0.9993445501
41.69449082,0.5,0.9993521232
41.76961603,0.5,0.9993596087
41.84474124,0.5,0.9993670078
41.91986644,0.5,0.9993743213
41.99499165,0.5,0.9993815504
42.07011686,0.5,0.999388696
42.14524207,0.5,0.999395759
42.22036728,0.5,0.9994027403
42.29549249,0.5,0.9994096411
42.3706177,0.5,0.9994164621
42.4457429,0.5,0.9994232042
42.52086811,0.5,0.9994298685
42.59599332,0.5,0.9994364558
42.67111853,0.5,0.999442967
42.74624374,0.5,0.9994494029
42.82136895,0.5,0.9994557645
42.89649416,0.5,0.9994620526
42.97161937,0.5,0.999468268
43.04674457,0.5,0.9994744116
43.12186978,0.5,0.9994804843
43.19699499,0.5,0.9994864867
43.2721202,0.5,0.9994924198
43.34724541,0.5,0.9994982844
43.42237062,0.5,0.9995040812
43.49749583,0.5,0.999509811
43.57262104,0.5,0.9995154747
43.64774624,0.5,0.9995210729
43.72287145,0.5,0.9995266064
43.79799666,0.5,0.999532076
43.87312187,0.5,0.9995374823
43.94824708,0.5,0.9995428262
44.02337229,0.5,0.9995481084
44.0984975,0.5,0.9995533296
44.1736227,0.5,0.9995584904
44.24874791,0.5,0.9995635916
44.32387312,0.5,0.9995686338
44.39899833,0.5,0.9995736178
44.47412354,0.5,0.9995785442
44.54924875,0.5,0.9995834137
44.62437396,0.5,0.9995882269
44.69949917,0.5,0.9995929845
44.77462437,0.5,0.9995976872
44.84974958,0.5,0.9996023355
44.92487479,0.5,0.9996069301
45,0.5,0.9996114716
