t,psi_ref,psi,psi_meas,x,y,cmd,delta
9.85,0.098857606,0.025545057,0.0086274984,31.52,0.0033696122,0.15030576,0.089453395
9.9,0.10044538,0.025994595,0.0088190571,31.68,0.0034422028,0.15260325,0.090769017
9.95,0.10205854,0.02645081,0.009013748,31.84,0.0035160674,0.15493902,0.092105892
10,0.1036975,0.026913801,0.0092116109,32,0.0035912249,0.15731371,0.093464389
10.05,0.10536266,0.027383666,0.0094126859,32.16,0.0036676945,0.15972794,0.094844879
10.1,0.10705444,0.027860508,0.0096170138,32.319999,0.0037454957,0.16218239,0.096247744
10.15,0.10877326,0.02834443,0.0098246359,32.479999,0.0038246483,0.16467771,0.097673368
10.2,0.11051955,0.028835536,0.010035594,32.639999,0.0039051723,0.16721457,0.099122143
10.25,0.11229374,0.029333933,0.010249932,32.799999,0.0039870881,0.16979366,0.10059447
10.3,0.11409628,0.02983973,0.010467691,32.959999,0.0040704163,0.17241567,0.10209074
10.35,0.11592762,0.030353037,0.010688917,33.119999,0.004155178,0.1750813,0.10361138
10.4,0.1177882,0.030873967,0.010913653,33.279999,0.0042413944,0.17779128,0.10515679
10.45,0.1196785,0.031402634,0.011141946,33.439999,0.0043290871,0.18054631,0.10672741
10.5,0.12159897,0.031939154,0.01137384,33.599999,0.004418278,0.18334714,0.10832365
10.55,0.12355011,0.032483645,0.011609384,33.759999,0.0045089894,0.18619451,0.10994596
10.6,0.12553239,0.033036227,0.011848623,33.919999,0.004601244,0.18908918,0.11159478
10.65,0.1275463,0.033597023,0.012091607,34.079999,0.0046950646,0.19203191,0.11327055
10.7,0.12959235,0.034166157,0.012338385,34.239999,0.0047904745,0.19502349,0.11497374
10.75,0.13167103,0.034743756,0.012589006,34.399999,0.0048874973,0.19806471,0.1167048
10.8,0.13378287,0.035329948,0.012843521,34.559999,0.0049861572,0.20115636,0.11846421
10.85,0.1359284,0.035924864,0.01310198,34.719999,0.0050864783,0.20429926,0.12025244
10.9,0.13810813,0.036528637,0.013364438,34.879999,0.0051884855,0.20749424,0.12206998
10.95,0.1403226,0.037141403,0.013630945,35.039999,0.0052922039,0.21074214,0.12391731
11,0.14257238,0.037763298,0.013901556,35.199999,0.0053976589,0.2140438,0.12579495
11.05,0.144858,0.038394464,0.014176327,35.359999,0.0055048764,0.21740008,0.12770339
11.1,0.14718004,0.039035042,0.014455312,35.519999,0.0056138828,0.22081187,0.12964315
11.15,0.14953907,0.039685177,0.014738568,35.679999,0.0057247047,0.22428005,0.13161475
11.2,0.15193567,0.040345017,0.015026153,35.839999,0.0058373693,0.22780551,0.13361872
11.25,0.15437043,0.041014711,0.015318124,35.999999,0.0059519039,0.23138918,0.13565561
11.3,0.15684395,0.041694412,0.015614542,36.159999,0.0060683367,0.23503198,0.13772595
11.35,0.15935684,0.042384275,0.015915466,36.319999,0.0061866959,0.23873485,0.1398303
11.4,0.16190972,0.043084456,0.016220959,36.479999,0.0063070104,0.24249874,0.14196923
11.45,0.16450321,0.043795117,0.016531081,36.639999,0.0064293094,0.24632463,0.1441433
11.5,0.16713796,0.04451642,0.016845898,36.799999,0.0065536227,0.25021349,0.14635309
