t,r,y,ym,yf,feedback,e,u,delta
4.06,0.72,0.12434439,0.16047755,0.10060002,0.10060002,0.61939998,1.33171,0.46965662
4.08,0.72,0.12968815,0.12213816,0.10138322,0.10138322,0.61861678,1.3300261,0.53848618
4.1,0.72,0.13577416,0.17420726,0.10403137,0.10403137,0.61596863,1.3243326,0.60135389
4.12,0.72,0.14252862,0.095581645,0.10372411,0.10372411,0.61627589,1.3249932,0.65924503
4.14,0.72,0.1498741,0.21593732,0.10780459,0.10780459,0.61219541,1.3162201,0.71180304
4.16,0.72,0.15774888,0.10573644,0.10772938,0.10772938,0.61227062,1.3163818,0.76016934
4.18,0.72,0.16608828,0.20583752,0.11129695,0.11129695,0.60870305,1.3087116,0.80405272
4.2,0.72,0.17483969,0.12780061,0.11189708,0.11189708,0.60810292,1.3074213,0.8443222
4.22,0.72,0.18393994,0.31349365,0.11922787,0.11922787,0.60077213,1.2916601,0.88010923
4.24,0.72,0.19333502,0.2750409,0.1248938,0.1248938,0.5951062,1.2794783,0.91205876
4.26,0.72,0.2029809,0.21468828,0.12815905,0.12815905,0.59184095,1.272458,0.94089071
4.28,0.72,0.21283226,0.28087044,0.13371219,0.13371219,0.58628781,1.2605188,0.96646095
4.3,0.72,0.2228533,0.21724459,0.13674973,0.13674973,0.58325027,1.2539881,0.98946312
4.32,0.72,0.23301716,0.14837277,0.13717239,0.13717239,0.58282761,1.2530794,1.0105524
4.34,0.72,0.2432851,0.32452395,0.14398517,0.14398517,0.57601483,1.2384319,1.0287828
4.36,0.72,0.25362842,0.24996771,0.14783908,0.14783908,0.57216092,1.230146,1.0448918
4.38,0.72,0.26401827,0.28699421,0.15289927,0.15289927,0.56710073,1.2192666,1.0588418
4.4,0.72,0.27443437,0.21832332,0.15527833,0.15527833,0.56472167,1.2141516,1.0712666
4.42,0.72,0.28484953,0.32926322,0.16160505,0.16160505,0.55839495,1.2005491,1.0816092
4.44,0.72,0.29524502,0.26147672,0.16523675,0.16523675,0.55476325,1.192741,1.0904997
4.46,0.72,0.30560582,0.2407184,0.16798153,0.16798153,0.55201847,1.1868397,1.0982069
4.48,0.72,0.31592465,0.16521043,0.16788077,0.16788077,0.55211923,1.1870564,1.1053149
4.5,0.72,0.32617929,0.35893054,0.17482803,0.17482803,0.54517197,1.1721197,1.1106593
4.52,0.72,0.33634811,0.38480429,0.18246353,0.18246353,0.53753647,1.1557034,1.1142628
4.54,0.72,0.34641754,0.31818755,0.18739895,0.18739895,0.53260105,1.1450923,1.1167292
4.56,0.72,0.35637429,0.33648001,0.19282008,0.19282008,0.52717992,1.1334368,1.1180658
4.58,0.72,0.36620109,0.40771603,0.20063448,0.20063448,0.51936552,1.1166359,1.1179514
4.6,0.72,0.37588756,0.35147956,0.20611975,0.20611975,0.51388025,1.1048425,1.1169027
4.62,0.72,0.38541832,0.43264206,0.21435693,0.21435693,0.50564307,1.0871326,1.1145211
4.64,0.72,0.39477579,0.48734543,0.22428378,0.22428378,0.49571622,1.0657899,1.1106226
4.66,0.72,0.4039613,0.28556744,0.22651228,0.22651228,0.49348772,1.0609986,1.1066527
4.68,0.72,0.41297209,0.33892939,0.23060017,0.23060017,0.48939983,1.0522096,1.1022972
4.7,0.72,0.42179573,0.46812086,0.23923729,0.23923729,0.48076271,1.0336398,1.0968046
4.72,0.72,0.43042517,0.42696687,0.24606382,0.24606382,0.47393618,1.0189628,1.0905773
4.74,0.72,0.4388588,0.3766601,0.25081278,0.25081278,0.46918722,1.0087525,1.0840313
4.76,0.72,0.44708874,0.46348338,0.25854625,0.25854625,0.46145375,0.99212556,1.0766788
4.78,0.72,0.45510488,0.51030569,0.26770114,0.26770114,0.45229886,0.97244255,1.0683399
4.8,0.72,0.46290523,0.43339882,0.27372651,0.27372651,0.44627349,0.959488,1.0596318
4.82,0.72,0.47048691,0.45517007,0.28032446,0.28032446,0.43967554,0.94530241,1.0504854
4.84,0.72,0.47785006,0.43053878,0.2857868,0.2857868,0.4342132,0.93355839,1.0411313
4.86,0.72,0.48499202,0.47339655,0.29260897,0.29260897,0.42739103,0.91889071,1.031352
4.88,0.72,0.49190232,0.58282887,0.30316242,0.30316242,0.41683758,0.89620079,1.0205399
4.9,0.72,0.49858173,0.46872764,0.30918297,0.30918297,0.41081703,0.8832566,1.0095573
4.92,0.72,0.50503154,0.47085988,0.31506213,0.31506213,0.40493787,0.87061641,0.99844199
4.94,0.72,0.51124851,0.53407918,0.32302639,0.32302639,0.39697361,0.85349326,0.98684609
4.96,0.72,0.51723272,0.50734809,0.329729,0.329729,0.390271,0.83908265,0.97502502
4.98,0.72,0.52298131,0.55380119,0.33787708,0.33787708,0.38212292,0.82156428,0.96274816
5,0.72,0.52849796,0.48684474,0.34329408,0.34329408,0.37670592,0.80991772,0.95052172
5.02,0.72,0.53377821,0.59207688,0.35234073,0.35234073,0.36765927,0.79046743,0.93771738
5.04,0.72,0.53882303,0.54189065,0.35923346,0.35923346,0.36076654,0.77564807,0.92475184
5.06,0.72,0.54362923,0.60220059,0.36806862,0.36806862,0.35193138,0.75665246,0.91130389
5.08,0.72,0.54820001,0.53871618,0.37427399,0.37427399,0.34572601,0.74331092,0.89786445
5.1,0.72,0.55253833,0.54696994,0.38055384,0.38055384,0.33944616,0.72980924,0.88442003
5.12,0.72,0.55664675,0.55814225,0.3870116,0.3870116,0.3329884,0.71592506,0.87094043
5.14,0.72,0.56053265,0.50451172,0.39128433,0.39128433,0.32871567,0.70673868,0.85780429
5.16,0.72,0.56419429,0.61657057,0.39947656,0.39947656,0.32052344,0.6891254,0.84430998
5.18,0.72,0.56763205,0.6032841,0.40688774,0.40688774,0.31311226,0.67319135,0.83062049
5.2,0.72,0.57084798,0.5922521,0.41362827,0.41362827,0.30637173,0.65869923,0.81686679
5.22,0.72,0.57384307,0.6129158,0.42087509,0.42087509,0.29912491,0.64311857,0.80296693
5.24,0.72,0.57662883,0.49112773,0.42342973,0.42342973,0.29657027,0.63762609,0.78973966
5.26,0.72,0.57920566,0.62129553,0.43062485,0.43062485,0.28937515,0.62215658,0.77633302
5.28,0.72,0.58157238,0.64999677,0.43860201,0.43860201,0.28139799,0.60500568,0.76262683
5.3,0.72,0.58373969,0.51513079,0.44138487,0.44138487,0.27861513,0.59902252,0.74953849
