t,delta,psi,x,y,R,delta_needed
22.02,18,39.761437,82.360503,24.424001,65,27.613028
22.08,18,39.892848,82.544642,24.577926,65,27.613028
22.14,18,40.024259,82.728427,24.732272,65,27.613028
22.2,18,40.15567,82.911858,24.88704,65,27.613028
22.26,18,40.28708,83.094934,25.042229,65,27.613028
22.32,18,40.418491,83.277653,25.197836,65,27.613028
22.38,18,40.549902,83.460014,25.353863,65,27.613028
22.44,18,40.681313,83.642018,25.510307,65,27.613028
22.5,18,40.812723,83.823661,25.667168,65,27.613028
22.56,18,40.944134,84.004945,25.824446,65,27.613028
22.62,18,41.075545,84.185868,25.982139,65,27.613028
22.68,18,41.206956,84.366428,26.140246,65,27.613028
22.74,18,41.338367,84.546625,26.298767,65,27.613028
22.8,18,41.469777,84.726459,26.457701,65,27.613028
22.86,18,41.601188,84.905927,26.617047,65,27.613028
22.92,18,41.732599,85.085029,26.776804,65,27.613028
22.98,18,41.86401,85.263765,26.936972,65,27.613028
23.04,18,41.99542,85.442132,27.097549,65,27.613028
23.1,18,42.126831,85.620131,27.258535,65,27.613028
23.16,18,42.258242,85.79776,27.419928,65,27.613028
23.22,18,42.389653,85.975019,27.581729,65,27.613028
23.28,18,42.521064,86.151906,27.743936,65,27.613028
23.34,18,42.652474,86.32842,27.906548,65,27.613028
23.4,18,42.783885,86.504561,28.069564,65,27.613028
23.46,18,42.915296,86.680328,28.232984,65,27.613028
23.52,18,43.046707,86.855719,28.396807,65,27.613028
23.58,18,43.178117,87.030734,28.561031,65,27.613028
23.64,18,43.309528,87.205372,28.725656,65,27.613028
23.7,18,43.440939,87.379633,28.890682,65,27.613028
23.76,18,43.57235,87.553514,29.056107,65,27.613028
23.82,18,43.703761,87.727015,29.22193,65,27.613028
23.88,18,43.835171,87.900135,29.388151,65,27.613028
23.94,18,43.966582,88.072874,29.554768,65,27.613028
24,18,44.097993,88.24523,29.721781,65,27.613028
24.06,18,44.229404,88.417203,29.889189,65,27.613028
24.12,18,44.360815,88.588791,30.056991,65,27.613028
24.18,18,44.492225,88.759994,30.225186,65,27.613028
24.24,18,44.623636,88.930811,30.393773,65,27.613028
24.3,18,44.755047,89.10124,30.562752,65,27.613028
24.36,18,44.886458,89.271282,30.732121,65,27.613028
24.42,18,45.017868,89.440935,30.901879,65,27.613028
24.48,18,45.149279,89.610198,31.072026,65,27.613028
24.54,18,45.28069,89.77907,31.242561,65,27.613028
24.6,18,45.412101,89.94755,31.413483,65,27.613028
24.66,18,45.543512,90.115639,31.584791,65,27.613028
24.72,18,45.674922,90.283333,31.756484,65,27.613028
24.78,18,45.806333,90.450634,31.928561,65,27.613028
24.84,18,45.937744,90.61754,32.101021,65,27.613028
24.9,18,46.069155,90.784049,32.273864,65,27.613028
24.96,18,46.200565,90.950162,32.447088,65,27.613028
25.02,18,46.331976,91.115877,32.620692,65,27.613028
25.08,18,46.463387,91.281193,32.794677,65,27.613028
25.14,18,46.594798,91.44611,32.96904,65,27.613028
25.2,18,46.726209,91.610626,33.14378,65,27.613028
25.26,18,46.857619,91.774742,33.318898,65,27.613028
25.32,18,46.98903,91.938455,33.494392,65,27.613028
25.38,18,47.120441,92.101765,33.67026,65,27.613028
25.44,18,47.251852,92.264671,33.846503,65,27.613028
25.5,18,47.383262,92.427173,34.023119,65,27.613028
25.56,18,47.514673,92.58927,34.200107,65,27.613028
25.62,18,47.646084,92.75096,34.377466,65,27.613028
25.68,18,47.777495,92.912242,34.555196,65,27.613028
25.74,18,47.908906,93.073117,34.733295,65,27.613028
25.8,18,48.040316,93.233583,34.911763,65,27.613028
25.86,18,48.171727,93.393639,35.090598,65,27.613028
25.92,18,48.303138,93.553284,35.2698,65,27.613028
25.98,18,48.434549,93.712518,35.449368,65,27.613028
26.04,18,48.56596,93.87134,35.6293,65,27.613028
26.1,18,48.69737,94.029749,35.809596,65,27.613028
26.16,18,48.828781,94.187744,35.990255,65,27.613028
26.22,18,48.960192,94.345324,36.171276,65,27.613028
26.28,18,49.091603,94.502488,36.352658,65,27.613028
26.34,18,49.223013,94.659236,36.534399,65,27.613028
26.4,18,49.354424,94.815567,36.7165,65,27.613028
26.46,18,49.485835,94.971479,36.898959,65,27.613028
26.52,18,49.617246,95.126973,37.081775,65,27.613028
26.58,18,49.748657,95.282047,37.264947,65,27.613028
26.64,18,49.880067,95.436701,37.448475,65,27.613028
26.7,18,50.011478,95.590933,37.632356,65,27.613028
26.76,18,50.142889,95.744743,37.816591,65,27.613028
26.82,18,50.2743,95.89813,38.001178,65,27.613028
26.88,18,50.40571,96.051093,38.186117,65,27.613028
26.94,18,50.537121,96.203632,38.371405,65,27.613028
27,18,50.668532,96.355745,38.557043,65,27.613028
27.06,18,50.799943,96.507433,38.74303,65,27.613028
27.12,18,50.931354,96.658693,38.929364,65,27.613028
27.18,18,51.062764,96.809525,39.116044,65,27.613028
27.24,18,51.194175,96.959929,39.30307,65,27.613028
27.3,18,51.325586,97.109904,39.49044,65,27.613028
27.36,18,51.456997,97.259448,39.678154,65,27.613028
27.42,18,51.588407,97.408562,39.86621,65,27.613028
27.48,18,51.719818,97.557244,40.054608,65,27.613028
27.54,18,51.851229,97.705493,40.243346,65,27.613028
27.6,18,51.98264,97.853309,40.432424,65,27.613028
27.66,18,52.114051,98.000691,40.621841,65,27.613028
27.72,18,52.245461,98.147638,40.811594,65,27.613028
27.78,18,52.376872,98.29415,41.001685,65,27.613028
27.84,18,52.508283,98.440225,41.192111,65,27.613028
27.9,18,52.639694,98.585863,41.382871,65,27.613028
27.96,18,52.771104,98.731063,41.573965,65,27.613028
28.02,18,52.902515,98.875825,41.765392,65,27.613028
28.08,18,53.033926,99.020147,41.95715,65,27.613028
