t,x,y,psi_ref,u,delta
32.72,147.24,12.502289,18.819221,9.0750496,9.0750496
32.8,147.6,12.62507,18.844082,8.8753678,8.8753678
32.88,147.96,12.748015,18.866025,8.6716611,8.6716611
32.96,148.32,12.871104,18.885035,8.4639989,8.4639989
33.04,148.68,12.994316,18.901094,8.2524536,8.2524536
33.12,149.04,13.11763,18.91419,8.0371003,8.0371003
33.2,149.4,13.241026,18.92431,7.8180172,7.8180172
33.28,149.76,13.364483,18.931443,7.5952852,7.5952852
33.36,150.12,13.487979,18.935579,7.368988,7.368988
33.44,150.48,13.611493,18.936711,7.1392117,7.1392117
33.52,150.84,13.735005,18.934832,6.9060455,6.9060455
33.6,151.2,13.858494,18.929937,6.6695806,6.6695806
33.68,151.56,13.981937,18.922023,6.429911,6.429911
33.76,151.92,14.105314,18.911088,6.1871329,6.1871329
33.84,152.28,14.228604,18.897132,5.941345,5.941345
33.92,152.64,14.351785,18.880156,5.692648,5.692648
34,153,14.474836,18.860162,5.4411448,5.4411448
34.08,153.36,14.597737,18.837156,5.1869404,5.1869404
34.16,153.72,14.720465,18.811141,4.9301417,4.9301417
34.24,154.08,14.843001,18.782127,4.6708575,4.6708575
34.32,154.44,14.965323,18.750121,4.4091983,4.4091983
34.4,154.8,15.08741,18.715134,4.1452763,4.1452763
34.48,155.16,15.209241,18.677178,3.8792053,3.8792053
34.56,155.52,15.330797,18.636265,3.6111006,3.6111006
34.64,155.88,15.452055,18.59241,3.3410788,3.3410788
34.72,156.24,15.572997,18.545629,3.0692578,3.0692578
34.8,156.6,15.693602,18.49594,2.7957568,2.7957568
34.88,156.96,15.813849,18.44336,2.5206958,2.5206958
34.96,157.32,15.933719,18.387912,2.2441959,2.2441959
35.04,157.68,16.053193,18.329615,1.9663792,1.9663792
35.12,158.04,16.172249,18.268492,1.6873683,1.6873683
35.2,158.4,16.290871,18.204569,1.4072866,1.4072866
35.28,158.76,16.409037,18.137869,1.1262579,1.1262579
35.36,159.12,16.52673,18.06842,0.84440637,0.84440637
35.44,159.48,16.64393,17.99625,0.56185669,0.56185669
35.52,159.84,16.76062,17.921388,0.27873357,0.27873357
35.6,160.2,16.876781,17.843863,-0.0048381766,-0.0048381766
35.68,160.56,16.992395,17.763707,-0.28873378,-0.28873378
35.76,160.92,17.107444,17.680952,-0.57282861,-0.57282861
35.84,161.28,17.221912,17.595633,-0.85699832,-0.85699832
35.92,161.64,17.335781,17.507783,-1.1411189,-1.1411189
36,162,17.449035,17.417437,-1.425067,-1.425067
