w,mag_before,phase_before,mag_after,phase_after
35.19973383,-30.93429132,-88.37270438,-29.04900202,-88.69824754
36.1803325,-31.17276752,-88.41678635,-29.28748572,-88.73350647
37.18824881,-31.41125374,-88.45967537,-29.52597903,-88.76781156
38.22424378,-31.64974942,-88.50140362,-29.76448143,-88.80118852
39.28909963,-31.88825407,-88.54200243,-30.00299244,-88.83366238
40.38362037,-32.12676721,-88.58150229,-30.2415116,-88.86525749
41.50863241,-32.36528839,-88.61993288,-30.48003847,-88.89599756
42.66498517,-32.60381716,-88.65732308,-30.71857264,-88.92590566
43.85355176,-32.84235314,-88.69370098,-30.95711372,-88.95500425
45.07522959,-33.08089594,-88.72909394,-31.19566134,-88.98331518
46.33094108,-33.31944518,-88.76352858,-31.43421516,-89.01085972
47.62163433,-33.55800053,-88.79703078,-31.67277483,-89.03765857
