t,u_raw,u_sat,u_rate,ref,psi,x,y
14.64,72.418217,16,0.37082689,72,48.695434,11.414323,34.783184
14.68,72.701404,16,0.57082689,72,48.600879,11.49368,34.873198
14.72,72.962774,16,0.77082689,72,48.513366,11.573173,34.963092
14.76,73.202377,16,0.97082689,72,48.432878,11.652793,35.052873
14.8,73.420274,16,1.1708269,72,48.359398,11.732527,35.142552
14.84,73.616527,16,1.3708269,72,48.292906,11.812366,35.232139
14.88,73.791207,16,1.5708269,72,48.23338,11.892298,35.321643
14.92,73.944389,16,1.7708269,72,48.180797,11.972312,35.411073
14.96,74.076153,16,1.9708269,72,48.135132,12.052397,35.50044
15,74.186586,16,2.1708269,72,48.096357,12.132542,35.589752
15.04,74.275779,16,2.3708269,72,48.064444,12.212738,35.67902
15.08,74.34383,16,2.5708269,72,48.039363,12.292972,35.768252
15.12,74.39084,16,2.7708269,72,48.021081,12.373235,35.857459
15.16,74.416918,16,2.9708269,72,48.009564,12.453516,35.94665
15.2,74.422177,16,3.1708269,72,48.004777,12.533804,36.035834
15.24,74.406733,16,3.3708269,72,48.006682,12.614089,36.125021
15.28,74.370712,16,3.5708269,72,48.015241,12.694361,36.214219
15.32,74.314239,16,3.7708269,72,48.030412,12.77461,36.303439
15.36,74.237449,16,3.9708269,72,48.052155,12.854824,36.39269
15.4,74.14048,16,4.1708269,72,48.080424,12.934994,36.48198
15.44,74.023473,16,4.3708269,72,48.115175,13.015111,36.571318
15.48,73.886577,16,4.5708269,72,48.156361,13.095163,36.660715
15.52,73.729943,16,4.7708269,72,48.203934,13.17514,36.750177
15.56,73.553729,16,4.9708269,72,48.257843,13.255034,36.839715
15.6,73.358095,16,5.1708269,72,48.318038,13.334833,36.929337
15.64,73.143208,16,5.3708269,72,48.384465,13.414529,37.019051
15.68,72.909237,16,5.5708269,72,48.45707,13.494111,37.108866
15.72,72.656357,16,5.7708269,72,48.535799,13.573569,37.19879
15.76,72.384746,16,5.9708269,72,48.620593,13.652894,37.288832
15.8,72.094588,16,6.1708269,72,48.711394,13.732076,37.379
15.84,71.78607,16,6.3708269,72,48.808144,13.811106,37.469301
15.88,71.459382,16,6.5708269,72,48.91078,13.889974,37.559743
