t,u_raw,u_sat,u_rate,ref,psi,x,y
52.6,-1.7720102,-1.7720102,-1.7720102,72,72.563047,71.864717,123.5435
52.64,-1.8271146,-1.8271146,-1.8271146,72,72.580935,71.90064,123.658
52.68,-1.8813953,-1.8813953,-1.8813953,72,72.598559,71.936528,123.7725
52.72,-1.9348421,-1.9348421,-1.9348421,72,72.615916,71.972381,123.88702
52.76,-1.9874449,-1.9874449,-1.9874449,72,72.633002,72.0082,124.00155
52.8,-2.0391939,-2.0391939,-2.0391939,72,72.649814,72.043986,124.11609
52.84,-2.0900796,-2.0900796,-2.0900796,72,72.66635,72.079738,124.23064
52.88,-2.1400929,-2.1400929,-2.1400929,72,72.682605,72.115458,124.3452
52.92,-2.1892248,-2.1892248,-2.1892248,72,72.698578,72.151145,124.45977
52.96,-2.2374668,-2.2374668,-2.2374668,72,72.714264,72.186802,124.57435
53,-2.2848106,-2.2848106,-2.2848106,72,72.729663,72.222427,124.68894
53.04,-2.3312482,-2.3312482,-2.3312482,72,72.74477,72.258023,124.80354
53.08,-2.3767718,-2.3767718,-2.3767718,72,72.759584,72.293589,124.91815
53.12,-2.4213742,-2.4213742,-2.4213742,72,72.774102,72.329126,125.03277
53.16,-2.4650481,-2.4650481,-2.4650481,72,72.788322,72.364634,125.14739
53.2,-2.5077868,-2.5077868,-2.5077868,72,72.802241,72.400114,125.26203
53.24,-2.5495837,-2.5495837,-2.5495837,72,72.815858,72.435568,125.37667
53.28,-2.5904327,-2.5904327,-2.5904327,72,72.829169,72.470994,125.49132
53.32,-2.6303279,-2.6303279,-2.6303279,72,72.842174,72.506395,125.60598
53.36,-2.6692635,-2.6692635,-2.6692635,72,72.854871,72.54177,125.72065
53.4,-2.7072345,-2.7072345,-2.7072345,72,72.867257,72.57712,125.83533
53.44,-2.7442356,-2.7442356,-2.7442356,72,72.879332,72.612447,125.95001
53.48,-2.7802623,-2.7802623,-2.7802623,72,72.891092,72.647749,126.0647
53.52,-2.81531,-2.81531,-2.81531,72,72.902538,72.683029,126.1794
53.56,-2.8493747,-2.8493747,-2.8493747,72,72.913668,72.718286,126.2941
53.6,-2.8824525,-2.8824525,-2.8824525,72,72.92448,72.753522,126.40881
53.64,-2.91454,-2.91454,-2.91454,72,72.934973,72.788737,126.52353
53.68,-2.9456338,-2.9456338,-2.9456338,72,72.945146,72.823932,126.63825
53.72,-2.9757311,-2.9757311,-2.9757311,72,72.954998,72.859106,126.75298
53.76,-3.0048292,-3.0048292,-3.0048292,72,72.964529,72.894262,126.86771
53.8,-3.0329258,-3.0329258,-3.0329258,72,72.973736,72.929399,126.98245
53.84,-3.0600187,-3.0600187,-3.0600187,72,72.982621,72.964519,127.0972
53.88,-3.0861063,-3.0861063,-3.0861063,72,72.991182,72.999621,127.21195
53.92,-3.1111871,-3.1111871,-3.1111871,72,72.999418,73.034707,127.32671
53.96,-3.1352598,-3.1352598,-3.1352598,72,73.00733,73.069776,127.44147
54,-3.1583235,-3.1583235,-3.1583235,72,73.014916,73.104831,127.55623
54.04,-3.1803777,-3.1803777,-3.1803777,72,73.022177,73.139871,127.671
54.08,-3.201422,-3.201422,-3.201422,72,73.029112,73.174898,127.78578
54.12,-3.2214563,-3.2214563,-3.2214563,72,73.035722,73.209911,127.90056
54.16,-3.240481,-3.240481,-3.240481,72,73.042006,73.244911,128.01534
54.2,-3.2584964,-3.2584964,-3.2584964,72,73.047964,73.2799,128.13012
54.24,-3.2755034,-3.2755034,-3.2755034,72,73.053598,73.314877,128.24491
54.28,-3.291503,-3.291503,-3.291503,72,73.058906,73.349844,128.35971
54.32,-3.3064966,-3.3064966,-3.3064966,72,73.06389,73.3848,128.4745
54.36,-3.3204858,-3.3204858,-3.3204858,72,73.06855,73.419747,128.5893
54.4,-3.3334724,-3.3334724,-3.3334724,72,73.072886,73.454686,128.7041
54.44,-3.3454586,-3.3454586,-3.3454586,72,73.076899,73.489617,128.8189
54.48,-3.3564468,-3.3564468,-3.3564468,72,73.08059,73.52454,128.93371
54.52,-3.3664397,-3.3664397,-3.3664397,72,73.08396,73.559456,129.04852
54.56,-3.3754402,-3.3754402,-3.3754402,72,73.087009,73.594366,129.16333
54.6,-3.3834516,-3.3834516,-3.3834516,72,73.089739,73.629271,129.27814
54.64,-3.3904772,-3.3904772,-3.3904772,72,73.092151,73.664171,129.39295
54.68,-3.3965207,-3.3965207,-3.3965207,72,73.094246,73.699067,129.50777
54.72,-3.4015861,-3.4015861,-3.4015861,72,73.096024,73.733959,129.62258
54.76,-3.4056777,-3.4056777,-3.4056777,72,73.097488,73.768849,129.7374
54.8,-3.4087998,-3.4087998,-3.4087998,72,73.098639,73.803736,129.85221
54.84,-3.4109572,-3.4109572,-3.4109572,72,73.099477,73.838621,129.96703
54.88,-3.4121548,-3.4121548,-3.4121548,72,73.100006,73.873505,130.08185
54.92,-3.4123978,-3.4123978,-3.4123978,72,73.100226,73.908389,130.19667
54.96,-3.4116915,-3.4116915,-3.4116915,72,73.100139,73.943273,130.31148
55,-3.4100417,-3.4100417,-3.4100417,72,73.099748,73.978158,130.4263
55.04,-3.4074542,-3.4074542,-3.4074542,72,73.099053,74.013044,130.54112
