t,psi_ref,psi,psi_meas,x,y,cmd,delta
10.2,0.11051955,0.021160439,0.020811103,32.64,0.0030034355,0.12436459,0.071782215
10.25,0.11229374,0.021515121,0.021160439,32.8,0.0030635171,0.12637275,0.072919518
10.3,0.11409628,0.021875233,0.021515121,32.96,0.0031246043,0.1284133,0.074075638
10.35,0.11592762,0.022240865,0.021875233,33.12,0.0031867125,0.13048674,0.075250869
10.4,0.1177882,0.022612106,0.022240865,33.28,0.0032498574,0.13259357,0.076445509
10.45,0.1196785,0.022989046,0.022612106,33.44,0.0033140549,0.13473431,0.077659859
10.5,0.12159897,0.023371777,0.022989046,33.6,0.0033793212,0.13690947,0.078894226
10.55,0.12355011,0.023760395,0.023371777,33.76,0.0034456728,0.13911958,0.080148921
10.6,0.12553239,0.024154994,0.023760395,33.92,0.0035131262,0.14136519,0.081424259
10.65,0.1275463,0.024555671,0.024154994,34.08,0.0035816986,0.14364681,0.082720563
10.7,0.12959235,0.024962525,0.024555671,34.24,0.0036514071,0.14596503,0.084038156
10.75,0.13167103,0.025375656,0.024962525,34.4,0.0037222693,0.14832038,0.085377369
10.8,0.13378287,0.025795166,0.025375656,34.56,0.003794303,0.15071344,0.086738537
10.85,0.1359284,0.02622116,0.025795166,34.72,0.0038675263,0.15314479,0.088122001
10.9,0.13810813,0.026653741,0.02622116,34.879999,0.0039419576,0.15561501,0.089528105
10.95,0.1403226,0.027093018,0.026653741,35.039999,0.0040176155,0.15812471,0.090957201
11,0.14257238,0.027539098,0.027093018,35.199999,0.0040945192,0.16067447,0.092409644
11.05,0.144858,0.027992093,0.027539098,35.359999,0.0041726879,0.16326492,0.093885795
11.1,0.14718004,0.028452115,0.027992093,35.519999,0.0042521412,0.16589667,0.095386022
11.15,0.14953907,0.028919279,0.028452115,35.679999,0.004332899,0.16857037,0.096910696
11.2,0.15193567,0.0293937,0.028919279,35.839999,0.0044149817,0.17128665,0.098460195
11.25,0.15437043,0.029875496,0.0293937,35.999999,0.0044984098,0.17404616,0.1000349
11.3,0.15684395,0.030364787,0.029875496,36.159999,0.0045832043,0.17684956,0.10163521
11.35,0.15935684,0.030861695,0.030364787,36.319999,0.0046693864,0.17969752,0.10326151
11.4,0.16190972,0.031366344,0.030861695,36.479999,0.0047569778,0.18259074,0.1049142
11.45,0.16450321,0.03187886,0.031366344,36.639999,0.0048460003,0.18552988,0.10659369
11.5,0.16713796,0.03239937,0.03187886,36.799999,0.0049364764,0.18851567,0.1083004
11.55,0.1698146,0.032928005,0.03239937,36.959999,0.0050284288,0.1915488,0.11003474
11.6,0.17253379,0.033464896,0.032928005,37.119999,0.0051218804,0.19463001,0.11179714
11.65,0.17529621,0.034010178,0.033464896,37.279999,0.0052168547,0.19776002,0.11358804
11.7,0.17810253,0.034563987,0.034010178,37.439999,0.0053133756,0.20093958,0.11540786
11.75,0.18095343,0.035126462,0.034563987,37.599999,0.0054114671,0.20416945,0.11725706
11.8,0.18384961,0.035697742,0.035126462,37.759999,0.005511154,0.2074504,0.11913609
11.85,0.18679179,0.036277972,0.035697742,37.919999,0.0056124612,0.21078319,0.1210454
11.9,0.18978067,0.036867296,0.036277972,38.079999,0.0057154141,0.21416862,0.12298547
11.95,0.19281699,0.037465863,0.036867296,38.239999,0.0058200386,0.2176075,0.12495676
12,0.19590149,0.038073821,0.037465863,38.399999,0.0059263607,0.22110063,0.12695976
12.05,0.19903492,0.038691324,0.038073821,38.559999,0.0060344073,0.22464885,0.12899495
12.1,0.20221804,0.039318526,0.038691324,38.719999,0.0061442053,0.22825298,0.13106282
12.15,0.20545163,0.039955585,0.039318526,38.879999,0.0062557823,0.23191388,0.13316389
12.2,0.20873648,0.040602659,0.039955585,39.039999,0.0063691663,0.23563241,0.13529865
12.25,0.21207337,0.041259913,0.040602659,39.199999,0.0064843857,0.23940945,0.13746762
12.3,0.21546313,0.04192751,0.041259913,39.359999,0.0066014694,0.24324587,0.13967134
12.35,0.21890657,0.042605618,0.04192751,39.519999,0.0067204467,0.2471426,0.14191032
12.4,0.22240452,0.043294407,0.042605618,39.679999,0.0068413475,0.25110053,0.14418512
12.45,0.22595784,0.043994051,0.043294407,39.839999,0.0069642021,0.25512059,0.14649627
12.5,0.22956739,0.044704724,0.043994051,39.999999,0.0070890412,0.25920373,0.14884435
12.55,0.23323402,0.045426605,0.044704724,40.159998,0.0072158962,0.26335089,0.1512299
12.6,0.23695864,0.046159876,0.045426605,40.319998,0.0073447989,0.26756306,0.15365351
12.65,0.24074213,0.04690472,0.046159876,40.479998,0.0074757816,0.2718412,0.15611575
12.7,0.24458542,0.047661325,0.04690472,40.639998,0.0076088771,0.27618631,0.15861722
12.75,0.24848941,0.04842988,0.047661325,40.799998,0.0077441188,0.28059941,0.16115852
12.8,0.25245506,0.049210579,0.04842988,40.959998,0.0078815406,0.28508152,0.16374024
12.85,0.25648332,0.050003617,0.049210579,41.119998,0.0080211771,0.28963368,0.16636302
12.9,0.26057514,0.050809194,0.050003617,41.279998,0.0081630631,0.29425693,0.16902748
12.95,0.26473152,0.051627511,0.050809194,41.439998,0.0083072343,0.29895236,0.17173425
13,0.26895344,0.052458775,0.051627511,41.599998,0.0084537268,0.30372104,0.17448397
13.05,0.27324192,0.053303194,0.052458775,41.759998,0.0086025774,0.30856408,0.17727731
13.1,0.27759798,0.054160979,0.053303194,41.919998,0.0087538233,0.31348259,0.18011492
13.15,0.28202265,0.055032347,0.054160979,42.079998,0.0089075026,0.31847769,0.18299748
13.2,0.286517,0.055917514,0.055032347,42.239998,0.0090636537,0.32355054,0.18592567
13.25,0.2910821,0.056816705,0.055917514,42.399998,0.0092223159,0.3287023,0.18890018
13.3,0.29571902,0.057730144,0.056816705,42.559997,0.0093835288,0.33393415,0.19192172
13.35,0.30042888,0.05865806,0.057730144,42.719997,0.009547333,0.33924727,0.194991
13.4,0.30521278,0.059600685,0.05865806,42.879997,0.0097137695,0.34464289,0.19810875
13.45,0.31007186,0.060558257,0.059600685,43.039997,0.00988288,0.35012224,0.2012757
13.5,0.31500727,0.061531015,0.060558257,43.199997,0.010054707,0.35568654,0.20449259
13.55,0.32002017,0.062519202,0.061531015,43.359997,0.010229293,0.36133708,0.20776018
13.6,0.32511176,0.063523067,0.062519202,43.519997,0.010406683,0.36707512,0.21107925
13.65,0.33028322,0.06454286,0.063523067,43.679997,0.010586921,0.37290197,0.21445055
13.7,0.33553578,0.065578837,0.06454286,43.839997,0.010770052,0.37881894,0.21787489
13.75,0.34087067,0.066631257,0.065578837,43.999997,0.010956121,0.38482736,0.22135307
13.8,0.34628914,0.067700383,0.066631257,44.159996,0.011145176,0.39092859,0.22488589
13.85,0.35179245,0.068786482,0.067700383,44.319996,0.011337264,0.39712398,0.22847419
13.9,0.35738191,0.069889827,0.068786482,44.479996,0.011532433,0.40341493,0.23211879
13.95,0.36305882,0.071010692,0.069889827,44.639996,0.011730733,0.40980284,0.23582054
14,0.36882449,0.072149358,0.071010692,44.799996,0.011932212,0.41628913,0.2395803
14.05,0.37468027,0.073306109,0.072149358,44.959996,0.012136921,0.42287526,0.24339894
14.1,0.38062753,0.074481234,0.073306109,45.119996,0.012344912,0.42956268,0.24727736
14.15,0.38666765,0.075675026,0.074481234,45.279996,0.012556236,0.43635286,0.25121643
14.2,0.39280202,0.076887782,0.075675026,45.439995,0.012770947,0.44324732,0.25521707
14.25,0.39903206,0.078119805,0.076887782,45.599995,0.012989099,0.45024757,0.25928021
14.3,0.40535922,0.079371402,0.078119805,45.759995,0.013210745,0.45735515,0.26340677
14.35,0.41178496,0.080642884,0.079371402,45.919995,0.013435943,0.46457162,0.2675977
14.4,0.41831075,0.081934568,0.080642884,46.079995,0.013664747,0.47189855,0.27185397
14.45,0.42493809,0.083246776,0.081934568,46.239995,0.013897216,0.47933756,0.27617655
14.5,0.43166851,0.084579833,0.083246776,46.399994,0.014133407,0.48689025,0.28056641
14.55,0.43850355,0.085934071,0.084579833,46.559994,0.01437338,0.49455828,0.28502458
14.6,0.44544477,0.087309827,0.085934071,46.719994,0.014617195,0.50234329,0.28955205
