minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
47,5.43294,5.11020,0.36487,0.00000,0.00000,17.66165,2
48,5.42936,5.11149,0.36759,0.00000,0.00000,17.54590,2
49,5.42534,5.11276,0.37017,0.00000,0.00000,16.73097,2
50,5.41925,5.11401,0.37170,0.00000,0.00000,17.82800,2
51,5.41574,5.11524,0.37462,0.00000,0.00000,18.02812,2
52,5.41254,5.11644,0.37746,0.00000,0.00000,17.36769,2
53,5.40759,5.11762,0.37936,0.00000,0.00000,17.12836,2
54,5.40199,5.11878,0.38104,0.00000,0.00000,17.54377,2
55,5.39734,5.11992,0.38318,0.00000,0.00000,17.69171,2
56,5.39294,5.12102,0.38533,0.00000,0.00000,17.21180,2
57,5.38730,5.12211,0.38679,0.00000,0.00000,17.53792,2
58,5.38241,5.12317,0.38866,0.00000,0.00000,17.60035,2
59,5.37758,5.12421,0.39047,0.00000,0.00000,17.59513,2
60,5.37268,5.12522,0.39218,0.00000,0.00000,18.24713,2
61,5.36927,5.12621,0.39459,0.00000,0.00000,16.86521,2
62,5.36243,5.12719,0.39514,0.00000,0.00000,17.15384,2
63,5.35634,5.12813,0.39626,0.00000,0.00000,18.20556,2
64,5.35275,5.12904,0.39852,0.00000,0.00000,17.46031,2
65,5.34727,5.12993,0.39959,0.00000,0.00000,17.41486,2
66,5.34167,5.13080,0.40070,0.00000,0.00000,17.41637,2
67,5.33607,5.13165,0.40177,0.00000,0.00000,17.37635,2
68,5.33037,5.13246,0.40273,0.00000,0.00000,18.09352,2
69,5.32639,5.13326,0.40450,0.00000,0.00000,17.33181,2
70,5.32052,5.13403,0.40514,0.00000,0.00000,17.57298,2
71,5.31525,5.13477,0.40619,0.00000,0.00000,17.31725,2
72,5.30937,5.13550,0.40682,0.00000,0.00000,17.34585,2
73,5.30359,5.13619,0.40750,0.00000,0.00000,17.47038,2
74,5.29814,5.13686,0.40827,0.00000,0.00000,17.30210,2
75,5.29231,5.13751,0.40877,0.00000,0.00000,17.47488,2
76,5.28693,5.13813,0.40947,0.00000,0.00000,17.68737,2
77,5.28208,5.13872,0.41034,0.00000,0.00000,17.14181,2
78,5.27593,5.13929,0.41048,0.00000,0.00000,17.61333,2
79,5.27098,5.13984,0.41126,0.00000,0.00000,18.25328,2
80,5.26757,5.14037,0.41265,0.00000,0.00000,18.01912,2
81,5.26353,5.14087,0.41359,0.00000,0.00000,17.54212,2
82,5.25835,5.14137,0.41395,0.00000,0.00000,17.59636,2
83,5.25334,5.14183,0.41444,0.00000,0.00000,17.63767,2
84,5.24846,5.14228,0.41494,0.00000,0.00000,17.69951,2
85,5.24375,5.14270,0.41546,0.00000,0.00000,17.15777,2
86,5.23779,5.14311,0.41529,0.00000,0.00000,16.76603,2
87,5.23098,5.14349,0.41474,0.00000,0.00000,17.34555,2
88,5.22569,5.14384,0.41495,0.00000,0.00000,17.29553,2
89,5.22035,5.14416,0.41496,0.00000,0.00000,17.59236,2
90,5.21578,5.14447,0.41531,0.00000,0.00000,17.03588,2
91,5.20992,5.14475,0.41490,0.00000,0.00000,17.49568,2
92,5.20527,5.14502,0.41515,0.00000,0.00000,17.58760,2
93,5.20089,5.14526,0.41538,0.00000,0.00000,17.03707,2
94,5.19523,5.14548,0.12629,0.00000,0.00000,17.52734,3
95,5.21395,5.14568,0.47399,0.00000,0.00000,17.10310,2
96,5.20360,5.14595,0.41746,0.00000,0.00000,17.26582,2
97,5.19830,5.14618,0.12881,0.00000,0.00000,17.71365,3
98,5.21722,5.14639,0.47685,0.00000,0.00000,17.18564,2
99,5.20680,5.14667,0.42030,0.00000,0.00000,17.22476,2
100,5.20114,5.14691,0.42037,0.00000,0.00000,18.09022,2
101,5.19761,5.14713,0.13226,0.00000,0.00000,18.07111,3
102,5.21713,5.14733,0.48039,0.00000,0.00000,17.14904,2
103,5.20635,5.14761,0.42361,0.00000,0.00000,17.58829,2
104,5.20130,5.14785,0.42402,0.00000,0.00000,17.66218,2
105,5.19647,5.14806,0.13530,0.00000,0.00000,16.71425,3
106,5.21254,5.14825,0.48172,0.00000,0.00000,17.46425,2
107,5.20248,5.14851,0.42552,0.00000,0.00000,18.01200,2
108,5.19835,5.14873,0.13742,0.00000,0.00000,17.26351,3
109,5.21554,5.14893,0.48451,0.00000,0.00000,17.85480,2
110,5.20615,5.14919,0.42859,0.00000,0.00000,17.66906,2
111,5.20092,5.14942,0.42879,0.00000,0.00000,17.82209,2
112,5.19610,5.14963,0.14012,0.00000,0.00000,17.00234,3
113,5.21250,5.14981,0.48667,0.00000,0.00000,17.82261,2
114,5.20291,5.15006,0.43069,0.00000,0.00000,17.71249,2
115,5.19766,5.15027,0.14205,0.00000,0.00000,17.23310,3
116,5.21444,5.15046,0.48895,0.00000,0.00000,17.35629,2
117,5.20354,5.15072,0.43231,0.00000,0.00000,17.58421,2
118,5.19786,5.15093,0.14354,0.00000,0.00000,17.48926,3
119,5.21513,5.15112,0.49075,0.00000,0.00000,17.79915,2
120,5.20513,5.15137,0.43452,0.00000,0.00000,17.45900,2
121,5.19896,5.15159,0.14537,0.00000,0.00000,18.23467,3
122,5.21786,5.15178,0.49352,0.00000,0.00000,17.61343,2
123,5.20717,5.15204,0.43685,0.00000,0.00000,16.97374,2
124,5.19964,5.15226,0.14704,0.00000,0.00000,16.97898,3
125,5.21541,5.15245,0.49379,0.00000,0.00000,17.67299,2
126,5.20488,5.15271,0.43742,0.00000,0.00000,17.53182,2
127,5.19867,5.15291,0.14831,0.00000,0.00000,17.91750,3
128,5.21659,5.15310,0.49596,0.00000,0.00000,17.61054,2
129,5.20573,5.15335,0.43926,0.00000,0.00000,17.66804,2
130,5.19969,5.15356,0.15019,0.00000,0.00000,18.21652,3
131,5.21817,5.15374,0.49819,0.00000,0.00000,17.08424,2
132,5.20587,5.15400,0.44074,0.00000,0.00000,17.85360,2
133,5.20016,5.15421,0.44093,0.00000,0.00000,17.72111,2
134,5.19420,5.15439,0.15187,0.00000,0.00000,17.83103,3
135,5.21170,5.15455,0.49890,0.00000,0.00000,17.47100,2
136,5.20036,5.15478,0.44194,0.00000,0.00000,18.12476,2
137,5.19528,5.15496,0.15369,0.00000,0.00000,17.85666,3
138,5.21269,5.15513,0.50070,0.00000,0.00000,17.30834,2
139,5.20081,5.15536,0.44349,0.00000,0.00000,17.89898,2
140,5.19507,5.15554,0.15497,0.00000,0.00000,18.12352,3
141,5.21302,5.15570,0.50229,0.00000,0.00000,18.30662,2
142,5.20339,5.15592,0.44617,0.00000,0.00000,17.37272,2
143,5.19616,5.15611,0.15666,0.00000,0.00000,17.83600,3
144,5.21329,5.15627,0.50377,0.00000,0.00000,17.80308,2
145,5.20234,5.15650,0.44706,0.00000,0.00000,17.97392,2
146,5.19649,5.15669,0.15831,0.00000,0.00000,17.56460,3
147,5.21284,5.15685,0.50496,0.00000,0.00000,17.96452,2
148,5.20219,5.15707,0.44845,0.00000,0.00000,17.72313,2
149,5.19564,5.15725,0.15940,0.00000,0.00000,16.97556,3
150,5.21052,5.15740,0.50529,0.00000,0.00000,18.07871,2
151,5.20015,5.15762,0.44902,0.00000,0.00000,17.73362,2
152,5.19361,5.15779,0.16009,0.00000,0.00000,18.07045,3
153,5.21107,5.15793,0.50710,0.00000,0.00000,17.78640,2
154,5.19987,5.15814,0.16122,0.00000,0.00000,17.62520,3
155,5.21610,5.15831,0.50852,0.00000,0.00000,18.26677,2
156,5.20587,5.15854,0.45226,0.00000,0.00000,18.21385,2
157,5.20014,5.15873,0.45228,0.00000,0.00000,18.45173,2
158,5.19506,5.15889,0.16359,0.00000,0.00000,18.02816,3
159,5.21213,5.15904,0.51041,0.00000,0.00000,17.78709,2
160,5.20066,5.15925,0.45343,0.00000,0.00000,17.50957,2
161,5.19325,5.15942,0.16419,0.00000,0.00000,17.97674,3
162,5.21018,5.15955,0.51097,0.00000,0.00000,18.30665,2
163,5.19994,5.15976,0.16560,0.00000,0.00000,18.39353,3
164,5.21766,5.15992,0.51358,0.00000,0.00000,17.65611,2
165,5.20557,5.16015,0.45629,0.00000,0.00000,17.61021,2
166,5.19810,5.16033,0.16673,0.00000,0.00000,18.30580,3
167,5.21556,5.16048,0.51419,0.00000,0.00000,17.92018,2
168,5.20408,5.16070,0.45721,0.00000,0.00000,17.54770,2
169,5.19642,5.16087,0.16763,0.00000,0.00000,18.32894,3
170,5.21389,5.16102,0.51497,0.00000,0.00000,17.91423,2
171,5.20236,5.16123,0.45794,0.00000,0.00000,17.99494,2
172,5.19573,5.16139,0.16892,0.00000,0.00000,18.23221,3
173,5.21289,5.16153,0.51596,0.00000,0.00000,17.91127,2
174,5.20129,5.16173,0.45891,0.00000,0.00000,18.06809,2
175,5.19478,5.16189,0.17002,0.00000,0.00000,17.79726,3
176,5.21083,5.16202,0.51641,0.00000,0.00000,18.25765,2
177,5.20005,5.16222,0.45985,0.00000,0.00000,18.66267,2
178,5.19490,5.16237,0.17155,0.00000,0.00000,17.38234,3
179,5.20984,5.16250,0.51729,0.00000,0.00000,18.01311,2
180,5.19843,5.16269,0.17161,0.00000,0.00000,17.46218,3
181,5.21351,5.16283,0.51823,0.00000,0.00000,18.39029,2
182,5.20287,5.16304,0.46184,0.00000,0.00000,18.02550,2
183,5.19602,5.16320,0.17261,0.00000,0.00000,18.77178,3
184,5.21418,5.16333,0.52020,0.00000,0.00000,17.86950,2
185,5.20214,5.16353,0.46287,0.00000,0.00000,18.30435,2
186,5.19589,5.16368,0.17406,0.00000,0.00000,17.82060,3
187,5.21167,5.16381,0.52039,0.00000,0.00000,18.30549,2
188,5.20070,5.16400,0.46376,0.00000,0.00000,18.16867,2
189,5.19407,5.16415,0.17481,0.00000,0.00000,17.55075,3
190,5.20919,5.16427,0.52068,0.00000,0.00000,17.96588,2
191,5.19742,5.16445,0.17489,0.00000,0.00000,18.28622,3
192,5.21423,5.16458,0.52231,0.00000,0.00000,18.99897,2
193,5.20473,5.16478,0.46636,0.00000,0.00000,18.71623,2
194,5.19915,5.16494,0.17745,0.00000,0.00000,17.96789,3
195,5.21499,5.16508,0.52404,0.00000,0.00000,17.92885,2
