idx,a
432,6.922598291676
433,6.993390319765
434,7.064906282861
435,7.137153584084
436,7.210139702260
437,7.283872192695
438,7.358358687958
439,7.433606898670
440,7.509624614302
441,7.586419703983
442,7.664000117312
443,7.742373885183
444,7.821549120617
445,7.901534019598
446,7.982336861926
447,8.063966012071
448,8.146429920041
449,8.229737122254
450,8.313896242424
451,8.398915992455
452,8.484805173339
453,8.571572676067
454,8.659227482555
455,8.747778666568
456,8.837235394661
457,8.927606927131
458,9.018902618968
459,9.111131920833
460,9.204304380030
461,9.298429641493
462,9.393517448792
463,9.489577645133
464,9.586620174383
465,9.684655082097
466,9.783692516556
467,9.883742729824
468,9.984816078800
469,10.086923026297
470,10.190074142124
471,10.294280104178
472,10.399551699551
473,10.505899825646
474,10.613335491305
475,10.721869817950
476,10.831514040731
477,10.942279509694
478,11.054177690950
479,11.167220167868
480,11.281418642269
481,11.396784935640
482,11.513330990357
483,11.631068870923
484,11.750010765212
485,11.870168985737
486,11.991555970920
487,12.114184286381
488,12.238066626240
489,12.363215814429
490,12.489644806020
491,12.617366688567
492,12.746394683460
493,12.876742147294
494,13.008422573253
495,13.141449592502
496,13.275836975603
497,13.411598633941
498,13.548748621158
499,13.687301134614
500,13.827270516854
501,13.968671257094
502,14.111517992717
503,14.255825510794
504,14.401608749612
505,14.548882800217
506,14.697662907983
507,14.847964474185
508,14.999803057594
509,15.153194376091
510,15.308154308289
511,15.464698895180
512,15.622844341795
513,15.782607018882
514,15.944003464598
515,16.107050386225
516,16.271764661895
517,16.438163342343
518,16.606263652664
519,16.776082994105
520,16.947638945860
521,17.120949266890
522,17.296031897767
523,17.472904962525
524,17.651586770538
525,17.832095818416
526,18.014450791921
527,18.198670567898
528,18.384774216231
529,18.572781001817
530,18.762710386562
531,18.954582031390
532,19.148415798286
533,19.344231752345
534,19.542050163854
535,19.741891510387
536,19.943776478927
537,20.147725968008
538,20.353761089874
539,20.561903172670
540,20.772173762647
541,20.984594626391
542,21.199187753081
543,21.415975356759
544,21.634979878635
545,21.856223989407
546,22.079730591609
547,22.305522821979
548,22.533624053861
549,22.764057899616
550,22.996848213072
551,23.232019091991
552,23.469594880565
553,23.709600171934
554,23.952059810733
555,24.196998895664
556,24.444442782095
557,24.694417084681
558,24.946947680022
559,25.202060709334
560,25.459782581160
561,25.720139974105
562,25.983159839593
563,26.248869404658
564,26.517296174767
565,26.788467936663
566,27.062412761240
567,27.339159006455
568,27.618735320256
569,27.901170643554
570,28.186494213216
571,28.474735565090
572,28.765924537065
573,29.060091272159
574,29.357266221641
575,29.657480148177
576,29.960764129023
577,30.267149559237
578,30.576668154927
579,30.889351956542
580,31.205233332179
581,31.524344980941
582,31.846719936319
583,32.172391569611
584,32.501393593378
585,32.833760064932
586,33.169525389865
587,33.508724325606
588,33.851391985021
589,34.197563840051
590,34.547275725378
591,34.900563842137
592,35.257464761667
593,35.618015429291
594,35.982253168143
595,36.350215683034
596,36.721941064350
597,37.097467792000
598,37.476834739396
599,37.860081177478
600,38.247246778780
601,38.638371621535
602,39.033496193827
603,39.432661397778
604,39.835908553784
605,40.243279404795
606,40.654816120633
607,41.070561302355
608,41.490557986670
609,41.914849650387
610,42.343480214920
611,42.776494050832
612,43.213935982431
613,43.655851292407
614,44.102285726521
615,44.553285498340
616,45.008897294022
617,45.469168277147
618,45.934146093602
619,46.403878876510
620,46.878415251214
621,47.357804340311
622,47.842095768737
623,48.331339668902
624,48.825586685883
625,49.324887982664
626,49.829295245433
627,50.338860688933
628,50.853637061865
629,51.373677652353
630,51.899036293453
631,52.429767368734
632,52.965925817900
633,53.507567142483
634,54.054747411585
635,54.607523267683
636,55.165951932493
637,55.730091212893
638,56.299999506906
639,56.875735809746
640,57.457359719929
641,58.044931445433
642,58.638511809940
643,59.238162259127
644,59.843944867029
645,60.455922342463
646,61.074158035520
647,61.698715944125
648,62.329660720658
649,62.967057678650
650,63.610972799541
651,64.261472739515
652,64.918624836392
653,65.582497116608
654,66.253158302251
655,66.930677818176
656,67.615125799191
657,68.306573097321
658,69.005091289137
659,69.710752683168
660,70.423630327388
661,71.143798016774
662,71.871330300948
663,72.606302491892
664,73.348790671745
665,74.098871700681
