version,K,w,mag_db,phase_deg
A,0.200000000000,0.045401618928,-9.041348523330,-97.067270937751
A,0.200000000000,0.045928006677,-9.150150685075,-97.612353971558
A,0.200000000000,0.046460497382,-9.259704592474,-98.157340260061
A,0.200000000000,0.046999161800,-9.370010347519,-98.702209155965
A,0.200000000000,0.047544071510,-9.481068050558,-99.246939824068
A,0.200000000000,0.048095298920,-9.592877798439,-99.791511228428
A,0.200000000000,0.048652917277,-9.705439682535,-100.335902120128
A,0.200000000000,0.049217000678,-9.818753786659,-100.880091025768
A,0.200000000000,0.049787624079,-9.932820184876,-101.424056236663
A,0.200000000000,0.050364863305,-10.047638939221,-101.967775798790
A,0.200000000000,0.050948795061,-10.163210097315,-102.511227503546
A,0.200000000000,0.051539496939,-10.279533689901,-103.054388879322
A,0.200000000000,0.052137047432,-10.396609728298,-103.597237183907
A,0.200000000000,0.052741525944,-10.514438201777,-104.139749397814
A,0.200000000000,0.053353012798,-10.633019074875,-104.681902218457
A,0.200000000000,0.053971589250,-10.752352284646,-105.223672055297
A,0.200000000000,0.054597337495,-10.872437737859,-105.765035025912
A,0.200000000000,0.055230340685,-10.993275308148,-106.305966953039
A,0.200000000000,0.055870682933,-11.114864833123,-106.846443362589
A,0.200000000000,0.056518449329,-11.237206111455,-107.386439482661
A,0.200000000000,0.057173725947,-11.360298899928,-107.925930243564
A,0.200000000000,0.057836599863,-11.484142910487,-108.464890278839
A,0.200000000000,0.058507159159,-11.608737807261,-109.003293927308
A,0.200000000000,0.059185492940,-11.734083203602,-109.541115236141
A,0.200000000000,0.059871691344,-11.860178659120,-110.078327964945
A,0.200000000000,0.060565845552,-11.987023676738,-110.614905590864
A,0.200000000000,0.061268047806,-12.114617699766,-111.150821314709
A,0.200000000000,0.061978391414,-12.242960109010,-111.686048068073
